,B5,B6,B7,B18
1,1.856487421,2.035337591,1.891052295,1.855004521
2,1.84632725,2.025140246,1.880637028,1.843195532
3,1.835349194,2.013326371,1.880662672,1.839601842
4,1.835262528,2.013284666,1.880770901,1.830673604
5,1.834645508,2.000528338,1.879450873,1.832700207
6,1.83566166,2.013899076,1.880700352,1.828528885
7,1.835146143,2.013101106,1.879935252,1.82120119
8,1.825756791,1.968789826,1.881508812,1.815170011
9,1.824773853,1.968166176,1.869690787,1.804298052
10,1.824613268,1.957230792,1.87005238,1.82310023
11,1.824619553,1.945599151,1.870044239,1.812125352
12,1.814201936,1.934750504,1.859651899,1.804691638
13,1.813752158,1.923279954,1.859074656,1.79084435
14,1.813440491,1.911889931,1.859008458,1.783470723
15,1.802598004,1.901066714,1.859362259,1.780938613
16,1.8021069,1.889198995,1.858735545,1.77120904
17,1.802579501,1.878278372,1.847817291,1.7686304
18,1.803068314,1.867569716,1.848525292,1.75363048
19,1.802777625,1.867589257,1.848378952,1.746219742
20,1.847025995,1.979626548,1.880780544,1.737664734
21,1.847417311,1.957549908,1.88147216,1.731516674
22,1.836177421,1.945815017,1.881095431,1.708594989
23,1.825780748,1.924246112,1.871008965,1.711469957
24,1.825113644,1.945981133,1.870199515,1.707502137
25,1.825581504,1.901407931,1.870671536,1.749238206
26,1.814031128,1.878674214,1.859612464,1.732769715
27,1.814769194,1.868306133,1.86003391,1.722231333
28,1.813969389,1.856024407,1.859165311,1.711846299
29,1.802765665,1.845199796,1.848139818,1.699267835
30,1.80407704,1.857228891,1.849201702,1.694036644
31,1.851802552,1.924776089,1.883467744,1.681902708
32,1.830703846,1.882231753,1.862821112,1.676977062
33,1.819904109,1.855276688,1.85208504,1.665522931
34,1.809307964,1.839250892,1.846950465,1.657192458
35,1.804609905,1.818539607,1.836828431,1.648224156
36,1.799377065,1.813477006,1.837161962,1.63877015
37,1.788443234,1.797101845,1.831672258,1.627648691
38,1.782923048,1.781004629,1.821147095,1.622153702
39,1.773033716,1.771013042,1.816506092,1.614006651
